pID,placement,vib_style,contrast,accuracy
10,hands,amp,vf,1
10,hands,amp,vs,0.8
10,hands,amp,Vhl,0.714285714285714
10,hands,lowfi,vf,0.666666666666667
10,hands,lowfi,vs,0.714285714285714
10,hands,lowfi,Vhl,0.916666666666667
10,hands,ctrl,vf,0.5
10,hands,ctrl,vs,0.714285714285714
10,hands,ctrl,Vhl,1
10,neck,amp,vf,0.8
10,neck,amp,vs,0.25
10,neck,amp,Vhl,0.857142857142857
10,neck,lowfi,vf,0.6
10,neck,lowfi,vs,0.777777777777778
10,neck,lowfi,Vhl,0.454545454545455
10,neck,ctrl,vf,0.8
10,neck,ctrl,vs,0.857142857142857
10,neck,ctrl,Vhl,0.615384615384615
17,hands,amp,vf,0.333333333333333
17,hands,amp,vs,0.5
17,hands,amp,Vhl,0.642857142857143
17,hands,lowfi,vf,0.75
17,hands,lowfi,vs,0.6
17,hands,lowfi,Vhl,1
17,hands,ctrl,vf,0.5
17,hands,ctrl,vs,0.5
17,hands,ctrl,Vhl,0.642857142857143
17,neck,amp,vf,1
17,neck,amp,vs,0.833333333333333
17,neck,amp,Vhl,0.6
17,neck,lowfi,vf,0.333333333333333
17,neck,lowfi,vs,0.8
17,neck,lowfi,Vhl,0.583333333333333
17,neck,ctrl,vf,0.4
17,neck,ctrl,vs,0.625
17,neck,ctrl,Vhl,0.714285714285714
27,hands,amp,vf,0.6
27,hands,amp,vs,0.272727272727273
27,hands,amp,Vhl,0.833333333333333
27,hands,lowfi,vf,0.333333333333333
27,hands,lowfi,vs,0.428571428571429
27,hands,lowfi,Vhl,0.875
27,hands,ctrl,vf,0.666666666666667
27,hands,ctrl,vs,0.2
27,hands,ctrl,Vhl,0.636363636363636
27,neck,amp,vf,0.25
27,neck,amp,vs,0.25
27,neck,amp,Vhl,0.3
27,neck,lowfi,vf,0.666666666666667
27,neck,lowfi,vs,0.4
27,neck,lowfi,Vhl,0.5
27,neck,ctrl,vf,0.5
27,neck,ctrl,vs,0.4
27,neck,ctrl,Vhl,0.6875
23,hands,amp,vf,0.75
23,hands,amp,vs,0.5
23,hands,amp,Vhl,0.625
23,hands,lowfi,vf,0.625
23,hands,lowfi,vs,0.454545454545455
23,hands,lowfi,Vhl,0.727272727272727
23,hands,ctrl,vf,0.5
23,hands,ctrl,vs,0.666666666666667
23,hands,ctrl,Vhl,0.230769230769231
23,neck,amp,vf,0.666666666666667
23,neck,amp,vs,0.5
23,neck,amp,Vhl,0.466666666666667
23,neck,lowfi,vf,0.333333333333333
23,neck,lowfi,vs,0.333333333333333
23,neck,lowfi,Vhl,0.666666666666667
23,neck,ctrl,vf,0.6
23,neck,ctrl,vs,0.428571428571429
23,neck,ctrl,Vhl,0.6
11,hands,amp,vf,0.5
11,hands,amp,vs,0.75
11,hands,amp,Vhl,0.4
11,hands,lowfi,vf,0.75
11,hands,lowfi,vs,0.444444444444444
11,hands,lowfi,Vhl,0.636363636363636
11,hands,ctrl,vf,0.6
11,hands,ctrl,vs,0.5
11,hands,ctrl,Vhl,0.7
11,neck,amp,vf,0.571428571428571
11,neck,amp,vs,0.666666666666667
11,neck,amp,Vhl,0.7
11,neck,lowfi,vf,0.5
11,neck,lowfi,vs,0.4
11,neck,lowfi,Vhl,0.545454545454546
11,neck,ctrl,vf,1
11,neck,ctrl,vs,0.666666666666667
11,neck,ctrl,Vhl,0.5
14,hands,amp,vf,1
14,hands,amp,vs,0.461538461538462
14,hands,amp,Vhl,0.666666666666667
14,hands,lowfi,vf,0.8
14,hands,lowfi,vs,1
14,hands,lowfi,Vhl,0.272727272727273
14,hands,ctrl,vf,0.5
14,hands,ctrl,vs,0.75
14,hands,ctrl,Vhl,0.625
14,neck,amp,vf,0
14,neck,amp,vs,0.75
14,neck,amp,Vhl,0.25
14,neck,lowfi,vf,0.615384615384615
14,neck,lowfi,vs,0.5
14,neck,lowfi,Vhl,0.444444444444444
14,neck,ctrl,vf,0.666666666666667
14,neck,ctrl,vs,0.571428571428571
14,neck,ctrl,Vhl,0.75
16,hands,amp,vf,1
16,hands,amp,vs,0.916666666666667
16,hands,amp,Vhl,0.272727272727273
16,hands,lowfi,vf,0
16,hands,lowfi,vs,0.4
16,hands,lowfi,Vhl,0.6
16,hands,ctrl,vf,0.666666666666667
16,hands,ctrl,vs,0.5
16,hands,ctrl,Vhl,0.571428571428571
16,neck,amp,vf,0.5
16,neck,amp,vs,0.875
16,neck,amp,Vhl,0.75
16,neck,lowfi,vf,0.4
16,neck,lowfi,vs,0.25
16,neck,lowfi,Vhl,0.636363636363636
16,neck,ctrl,vf,0.75
16,neck,ctrl,vs,0.571428571428571
16,neck,ctrl,Vhl,0.2
6,hands,amp,vf,0.666666666666667
6,hands,amp,vs,0.75
6,hands,amp,Vhl,0.909090909090909
6,hands,lowfi,vf,0.4
6,hands,lowfi,vs,0.833333333333333
6,hands,lowfi,Vhl,0.882352941176471
6,hands,ctrl,vf,0.714285714285714
6,hands,ctrl,vs,0.6
6,hands,ctrl,Vhl,1
6,neck,amp,vf,0.8
6,neck,amp,vs,1
6,neck,amp,Vhl,1
6,neck,lowfi,vf,1
6,neck,lowfi,vs,1
6,neck,lowfi,Vhl,0.75
6,neck,ctrl,vf,0.714285714285714
6,neck,ctrl,vs,1
6,neck,ctrl,Vhl,0.928571428571429
12,hands,amp,vf,0.8
12,hands,amp,vs,0.555555555555556
12,hands,amp,Vhl,1
12,hands,lowfi,vf,0.6
12,hands,lowfi,vs,0.5
12,hands,lowfi,Vhl,0.636363636363636
12,hands,ctrl,vf,0.6
12,hands,ctrl,vs,0.75
12,hands,ctrl,Vhl,0.818181818181818
12,neck,amp,vf,1
12,neck,amp,vs,0.285714285714286
12,neck,amp,Vhl,0.5
12,neck,lowfi,vf,0
12,neck,lowfi,vs,0.25
12,neck,lowfi,Vhl,0.333333333333333
12,neck,ctrl,vf,0.666666666666667
12,neck,ctrl,vs,0.333333333333333
12,neck,ctrl,Vhl,0.4
25,hands,amp,vf,0.166666666666667
25,hands,amp,vs,0.5
25,hands,amp,Vhl,0.7
25,hands,lowfi,vf,0.75
25,hands,lowfi,vs,0.454545454545455
25,hands,lowfi,Vhl,0.538461538461538
25,hands,ctrl,vf,0.4
25,hands,ctrl,vs,0.75
25,hands,ctrl,Vhl,0.2
25,neck,amp,vf,1
25,neck,amp,vs,0.75
25,neck,amp,Vhl,0.75
25,neck,lowfi,vf,0.25
25,neck,lowfi,vs,0.714285714285714
25,neck,lowfi,Vhl,0.5
25,neck,ctrl,vf,0.25
25,neck,ctrl,vs,0.5
25,neck,ctrl,Vhl,0.615384615384615
28,hands,amp,vf,1
28,hands,amp,vs,0.5
28,hands,amp,Vhl,0.785714285714286
28,hands,lowfi,vf,1
28,hands,lowfi,vs,0.571428571428571
28,hands,lowfi,Vhl,0.777777777777778
28,hands,ctrl,vf,0.6
28,hands,ctrl,vs,0.25
28,hands,ctrl,Vhl,0.466666666666667
28,neck,amp,vf,1
28,neck,amp,vs,0.428571428571429
28,neck,amp,Vhl,0.5
28,neck,lowfi,vf,0.6
28,neck,lowfi,vs,0.625
28,neck,lowfi,Vhl,0.4
28,neck,ctrl,vf,0.5
28,neck,ctrl,vs,0.5
28,neck,ctrl,Vhl,0.25
8,hands,amp,vf,1
8,hands,amp,vs,0.714285714285714
8,hands,amp,Vhl,0.5
8,hands,lowfi,vf,0.25
8,hands,lowfi,vs,0
8,hands,lowfi,Vhl,0.5
8,hands,ctrl,vf,0
8,hands,ctrl,vs,0.555555555555556
8,hands,ctrl,Vhl,0.8
8,neck,amp,vf,0.75
8,neck,amp,vs,0.555555555555556
8,neck,amp,Vhl,0.545454545454546
8,neck,lowfi,vf,0.6
8,neck,lowfi,vs,0.5
8,neck,lowfi,Vhl,0.545454545454546
8,neck,ctrl,vf,0.666666666666667
8,neck,ctrl,vs,0.2
8,neck,ctrl,Vhl,0.5
13,hands,amp,vf,0.5
13,hands,amp,vs,0.571428571428571
13,hands,amp,Vhl,0.692307692307692
13,hands,lowfi,vf,0.571428571428571
13,hands,lowfi,vs,0.714285714285714
13,hands,lowfi,Vhl,0.833333333333333
13,hands,ctrl,vf,0.5
13,hands,ctrl,vs,0.285714285714286
13,hands,ctrl,Vhl,0.4
13,neck,amp,vf,0.714285714285714
13,neck,amp,vs,0.428571428571429
13,neck,amp,Vhl,0.571428571428571
13,neck,lowfi,vf,0.4
13,neck,lowfi,vs,0.25
13,neck,lowfi,Vhl,0.642857142857143
13,neck,ctrl,vf,1
13,neck,ctrl,vs,0.166666666666667
13,neck,ctrl,Vhl,0.538461538461538
15,hands,amp,vf,0.75
15,hands,amp,vs,0.5
15,hands,amp,Vhl,0.642857142857143
15,hands,lowfi,vf,1
15,hands,lowfi,vs,1
15,hands,lowfi,Vhl,0.461538461538462
15,hands,ctrl,vf,0.5
15,hands,ctrl,vs,0.142857142857143
15,hands,ctrl,Vhl,0.7
15,neck,amp,vf,0.4
15,neck,amp,vs,0.4
15,neck,amp,Vhl,0.444444444444444
15,neck,lowfi,vf,0.666666666666667
15,neck,lowfi,vs,0.428571428571429
15,neck,lowfi,Vhl,0.714285714285714
15,neck,ctrl,vf,0.8
15,neck,ctrl,vs,0.727272727272727
15,neck,ctrl,Vhl,0.375
22,hands,amp,vf,0.8
22,hands,amp,vs,1
22,hands,amp,Vhl,0.538461538461538
22,hands,lowfi,vf,1
22,hands,lowfi,vs,0.5
22,hands,lowfi,Vhl,0.4
22,hands,ctrl,vf,0.666666666666667
22,hands,ctrl,vs,0.4
22,hands,ctrl,Vhl,0.75
22,neck,amp,vf,0.6
22,neck,amp,vs,0.571428571428571
22,neck,amp,Vhl,0.8
22,neck,lowfi,vf,1
22,neck,lowfi,vs,0.625
22,neck,lowfi,Vhl,0.625
22,neck,ctrl,vf,0.75
22,neck,ctrl,vs,0.818181818181818
22,neck,ctrl,Vhl,0.8
24,hands,amp,vf,0.666666666666667
24,hands,amp,vs,0.5
24,hands,amp,Vhl,0.625
24,hands,lowfi,vf,0.5
24,hands,lowfi,vs,0.666666666666667
24,hands,lowfi,Vhl,0.8
24,hands,ctrl,vf,0.25
24,hands,ctrl,vs,0.75
24,hands,ctrl,Vhl,0.583333333333333
24,neck,amp,vf,0.571428571428571
24,neck,amp,vs,0.333333333333333
24,neck,amp,Vhl,0.6
24,neck,lowfi,vf,0
24,neck,lowfi,vs,0.428571428571429
24,neck,lowfi,Vhl,0.416666666666667
24,neck,ctrl,vf,0.5
24,neck,ctrl,vs,0
24,neck,ctrl,Vhl,0.5
29,hands,amp,vf,0.666666666666667
29,hands,amp,vs,0.857142857142857
29,hands,amp,Vhl,0.7
29,hands,lowfi,vf,0.625
29,hands,lowfi,vs,0.5
29,hands,lowfi,Vhl,0.333333333333333
29,hands,ctrl,vf,0.5
29,hands,ctrl,vs,0.25
29,hands,ctrl,Vhl,0.75
29,neck,amp,vf,0.333333333333333
29,neck,amp,vs,0.555555555555556
29,neck,amp,Vhl,0.538461538461538
29,neck,lowfi,vf,1
29,neck,lowfi,vs,0.75
29,neck,lowfi,Vhl,0.785714285714286
29,neck,ctrl,vf,0.75
29,neck,ctrl,vs,0.666666666666667
29,neck,ctrl,Vhl,0.545454545454546
4,hands,amp,vf,1
4,hands,amp,vs,1
4,hands,amp,Vhl,0.909090909090909
4,hands,lowfi,vf,0.5
4,hands,lowfi,vs,0.4
4,hands,lowfi,Vhl,0.846153846153846
4,hands,ctrl,vf,1
4,hands,ctrl,vs,0.6
4,hands,ctrl,Vhl,0.75
4,neck,amp,vf,0.666666666666667
4,neck,amp,vs,0.833333333333333
4,neck,amp,Vhl,0.7
4,neck,lowfi,vf,1
4,neck,lowfi,vs,1
4,neck,lowfi,Vhl,0.777777777777778
4,neck,ctrl,vf,0.166666666666667
4,neck,ctrl,vs,0.5
4,neck,ctrl,Vhl,0.615384615384615
7,hands,amp,vf,0.25
7,hands,amp,vs,0.333333333333333
7,hands,amp,Vhl,0.777777777777778
7,hands,lowfi,vf,0.5
7,hands,lowfi,vs,0.75
7,hands,lowfi,Vhl,0.625
7,hands,ctrl,vf,0.666666666666667
7,hands,ctrl,vs,0.666666666666667
7,hands,ctrl,Vhl,0.4
7,neck,amp,vf,0.285714285714286
7,neck,amp,vs,0.833333333333333
7,neck,amp,Vhl,0.666666666666667
7,neck,lowfi,vf,1
7,neck,lowfi,vs,0.333333333333333
7,neck,lowfi,Vhl,0.875
7,neck,ctrl,vf,0.666666666666667
7,neck,ctrl,vs,0.8
7,neck,ctrl,Vhl,0.769230769230769
18,hands,amp,vf,0.8
18,hands,amp,vs,0.571428571428571
18,hands,amp,Vhl,0.166666666666667
18,hands,lowfi,vf,0
18,hands,lowfi,vs,0.363636363636364
18,hands,lowfi,Vhl,0.375
18,hands,ctrl,vf,0.8
18,hands,ctrl,vs,0.5
18,hands,ctrl,Vhl,0.6
18,neck,amp,vf,0.333333333333333
18,neck,amp,vs,0.75
18,neck,amp,Vhl,0.733333333333333
18,neck,lowfi,vf,0.4
18,neck,lowfi,vs,0.333333333333333
18,neck,lowfi,Vhl,0.666666666666667
18,neck,ctrl,vf,0.714285714285714
18,neck,ctrl,vs,0.75
18,neck,ctrl,Vhl,0.777777777777778
20,hands,amp,vf,0.6
20,hands,amp,vs,0.5
20,hands,amp,Vhl,0.6
20,hands,lowfi,vf,1
20,hands,lowfi,vs,0.571428571428571
20,hands,lowfi,Vhl,0.5
20,hands,ctrl,vf,0.75
20,hands,ctrl,vs,0.333333333333333
20,hands,ctrl,Vhl,0.666666666666667
20,neck,amp,vf,0.333333333333333
20,neck,amp,vs,0.4
20,neck,amp,Vhl,0.538461538461538
20,neck,lowfi,vf,0.5
20,neck,lowfi,vs,0.625
20,neck,lowfi,Vhl,0.5
20,neck,ctrl,vf,0.5
20,neck,ctrl,vs,0.5
20,neck,ctrl,Vhl,0.666666666666667
26,hands,amp,vf,0.857142857142857
26,hands,amp,vs,0.5
26,hands,amp,Vhl,0.444444444444444
26,hands,lowfi,vf,0.8
26,hands,lowfi,vs,0.666666666666667
26,hands,lowfi,Vhl,0.636363636363636
26,hands,ctrl,vf,0.333333333333333
26,hands,ctrl,vs,0.615384615384615
26,hands,ctrl,Vhl,0.571428571428571
26,neck,amp,vf,0.75
26,neck,amp,vs,0.2
26,neck,amp,Vhl,0.636363636363636
26,neck,lowfi,vf,0.833333333333333
26,neck,lowfi,vs,0.222222222222222
26,neck,lowfi,Vhl,0.727272727272727
26,neck,ctrl,vf,0.5
26,neck,ctrl,vs,0.5
26,neck,ctrl,Vhl,0.466666666666667
5,hands,amp,vf,0.714285714285714
5,hands,amp,vs,0.666666666666667
5,hands,amp,Vhl,0.428571428571429
5,hands,lowfi,vf,0.75
5,hands,lowfi,vs,0.222222222222222
5,hands,lowfi,Vhl,0.625
5,hands,ctrl,vf,0.6
5,hands,ctrl,vs,0.5
5,hands,ctrl,Vhl,0.454545454545455
5,neck,amp,vf,0.333333333333333
5,neck,amp,vs,0
5,neck,amp,Vhl,0.615384615384615
5,neck,lowfi,vf,1
5,neck,lowfi,vs,0.7
5,neck,lowfi,Vhl,0.714285714285714
5,neck,ctrl,vf,0.666666666666667
5,neck,ctrl,vs,0.5
5,neck,ctrl,Vhl,0.363636363636364
9,hands,amp,vf,1
9,hands,amp,vs,0.777777777777778
9,hands,amp,Vhl,0.461538461538462
9,hands,lowfi,vf,0.75
9,hands,lowfi,vs,0.5
9,hands,lowfi,Vhl,1
9,hands,ctrl,vf,0.4
9,hands,ctrl,vs,0.5
9,hands,ctrl,Vhl,0.428571428571429
9,neck,amp,vf,1
9,neck,amp,vs,0.666666666666667
9,neck,amp,Vhl,0.8
9,neck,lowfi,vf,0.75
9,neck,lowfi,vs,0.625
9,neck,lowfi,Vhl,0.7
9,neck,ctrl,vf,0
9,neck,ctrl,vs,0.833333333333333
9,neck,ctrl,Vhl,0.7
21,hands,amp,vf,0.666666666666667
21,hands,amp,vs,0.5
21,hands,amp,Vhl,0.545454545454546
21,hands,lowfi,vf,0.8
21,hands,lowfi,vs,0.833333333333333
21,hands,lowfi,Vhl,0.875
21,hands,ctrl,vf,0.666666666666667
21,hands,ctrl,vs,1
21,hands,ctrl,Vhl,0.8
21,neck,amp,vf,0.75
21,neck,amp,vs,0.75
21,neck,amp,Vhl,0.545454545454546
21,neck,lowfi,vf,0.666666666666667
21,neck,lowfi,vs,0.7
21,neck,lowfi,Vhl,0.75
21,neck,ctrl,vf,0.75
21,neck,ctrl,vs,0.333333333333333
21,neck,ctrl,Vhl,0.571428571428571
